text,label
عايزة احط عنوان بيتي,X X X X
ابغى الفاتورة من فضلك,X X X X
عايزة اغير عنوان البيت,X X X X
ممكن اغير عنواني,X X X
عايز منيو ارابياتا جامعة الدول,X X X X X
بدي شوف ايش عندكن من البيتزا,X X X X X MenuName
تابعلي الاوردر قوام,X X X
ممكن احذف العنوان لو سمحت,X X X X X
عايز احدد اللغة الاسبانية,X X X Language
عايز احذف عنواني لو سمحت,X X X X X
دحين كيف غير رقم الجوال,X X X X X
ممكن اعدل عنواني,X X X
عايز احدث البيانات من فضلك,X X X X X
وريني المنيو الرئيسي,X X X
ممكن اشوف اوردراتي الي قبل كدا,X X X X X X
فيك تعرضلي قائمة الطعام,X X X X
عطيني الكارت حقي,X X X
3 ماك دينار مع سلطة تشيكن سيزر,itemnumber PredefinedMealName PredefinedMealName X ItemName ItemName ItemName
رقم 5,X X
بدياك تحضرلي الفاتورة اذا بتريد,X X X X X
انا عايز الحجم الكبير,X X X ItemSize
ارغب فى واحد كفته كبير بدون طحينه,X X itemnumber ItemName ItemSize Exclude Topping_Exclude
اعرضلي كدا كل الطلبات,X X X X
اريد الغاء العنوان,X X X
ايه الطوة الي جاية,X X X X
ممكن اغير اللغة,X X X
اقدر الغي عنواني,X X X
سويلي اوردر بيتزا سوبر سوبريم ستافد كراست من غير بصل,X X X X ItemName ItemName ItemName Exclude Exclude Topping_Exclude
عايز اشوف حسابى كام دلوقتى,X X X X X
ابا غير رقم الجوال حجي,X X X X X
الاوردر مجاش لحد دلوقتي,X X X X
احتاج الى تبديل لغة التواصل,X X X X X
هلأ بدي احذف العنوان اذا بتريد,X X X X X X
ممكن تضيفلي الهابي ميل,X X ItemName ItemName
الله يسلم عليك,X X X
عايزة اشوف طلباتي السابقة,X X X X
عايز منيو الاطباق الرئيسية في سبكترا,X X X X X X
عايزة قائمة تغيير البيانات,X X X X
ابغا اتنين جلابينو ساندوتش كبير,X itemnumber ItemName ItemName ItemSize
عايزة اغير لغة التواصل الى الانجليزية,X X X X X Language
ابي الغي عنواني القديم,X X X X
راح فرجيكن العنوان تبعي,X X X X
عايزة اعرف الاوردر فاضله اد ايه,X X X X X X
بليز فيك تغيرلي رقم الموبايل,X X X X X
عايزة امسح عنوان البيت,X X X X
بدي امسح العنوان المسجل,X X X X
كان بدي اضيف عنوان,X X X X
ايه المشاكل فى الاوردر موصلش لحد دلوقتى,X X X X X X X
راح اطلبها صغيرة,X X ItemSize
بدي غير هدي اللغة,X X X X
بدي اعرف متى بتجي ساعات الدوام,X X X X X X
ليش عطلان الأوردر,X X X
عايز اتكلم مع انسان,X X X X
الغيلي وجبة الكوردن بلو,X ItemName ItemName ItemName
بدي غير المحل تبعي اذا بتريد,X X X X X X
عاوز اشوف الاوردر المعتاد,X X X X
فرجيني توتال الطلبات لو تكرمت,X X X X X
من فضلك تغير رقم موبايلي الى 01552687474,X X X X X X phone
عايزة الاوردرات القديمة,X X X
كان بدي غير لغة التواصل,X X X X X
لك قديش وقت بياخد,X X X X
عايز اشوف الأكل الموجود,X X X X
فيك تفرجيني القائمة المفضلة تبعي,X X X X X
هضيف وجبة ليتل تيستي,X ItemName ItemName ItemName
ممكن استرجع الاوردرات الي طلبتها قبل كدا لو سمحت,X X X X X X X X X
سميك,X
عايزة 3 بيبيروني بيتزا,X itemnumber ItemName MenuName
عايزة فراخ بروستد كومبو,X ItemName ItemName X
شنو يعني هالجملة بالعربي,X X X Language
عايزه حجمه متوسط لو سمحت,X X ItemSize X X
وريني كدا كل الاوردر,X X X X
بدي شيل العنوان تبعي,X X X X
هاخد 2 كوردن بلو,X itemnumber PredefinedMealName PredefinedMealName
نراجع الاوردر,X X
ممكن تقولي الاوردر وصل لحد فين,X X X X X X
عايزها كبيرة,X ItemSize
فيك تغيرلي اللغة بليز,X X X X
بدياك تطلعنى على الاوردر رقم 8896 لانه ماوصل للحين,X X X X X OrderNumber X X X
فيك تفرجيني قائمة الطعام تبعكن,X X X X X
فيك تبعتلي قائمة السندوتشات اذا بتريد,X X X MenuName X X
بطا الاوردر,X X
اهوا فى القاء نظره على الاشياء التى طلبتها,X X X X X X X X
ممكن اروح على القائمة الرئيسية,X X X X X
حدثلى رقم هاتفى للرقم 015248575,X X X X phone
لو سمحت اعملي حذف للرقم ده 45454444 عشان هضيف رقم تاني,X X X X X X phone X X X X
لو سمحت عايزة اعرف اسجل بياناتي ازاي,X X X X X X X
عايز القائمة السابقة,X X X
عايز اغير عنواني,X X X
ابي الفاتورة يا اخي,X X X X
اذا بتريد فرجينى الاشيا اللى طلبتها,X X X X X X
تحديد اللغة العربية,X X Language
صرت بدي الغي وجبة التشيكن تندر,X X X ItemName ItemName ItemName
ابغى اسوي اوردر,X X X
عايزة حجمه صغير من فضلك,X X ItemSize X X
عاوز اطلب 3 ساندوتشات شاورمة فراخ وضيف تومية,X X itemnumber ItemName ItemName ItemName Include Topping_Include
اذا فيك تبعتلي الاكل المفضل تبعي,X X X X X X
بلكي اسأل عن شي,X X X X
عايزة اغير لغة التواصل,X X X X
يعطيك العافية ارسلي المنيو,X X X X
عايزة اشوف الطلبات السابقة,X X X X
حابب اتواصل مع ممثل خدمة عملا,X X X X X X
فيك تعرضلي الاكل المفضل تبعي,X X X X X
ابي اضيف رقم اخر,X X X X
قديش بياخد وقت,X X X
ممكن اتواصل مع حد من خدمة العملاء,X X X X X X X
في طريقة اغير بيها رقمي,X X X X X
يعطيك العافية ارسلي قائمة الطعام,X X X X X
ارغب في تغيير عنوان البيت,X X X X X
بغيت اعرف وين الحل,X X X X
هاي,X
ممكن اسجل عنوان البيت,X X X X
اتوق لمعرفه مكان الطلبات اللى انا طلبتها,X X X X X X X
فيني اطلع على القائمة المفضلة تبعي,X X X X X X
شو عامل,X X
من فضلك اعطني الفاتورة,X X X X
من فضلك,X X
اذا فيك تخليني سجل عنواني,X X X X X
بدياك تفرجيني قائمة الطلبات السابقة,X X X X X
ابغى حبتين دجاج مع مسحب,X itemnumber ItemName Include Topping_Include
ابي ارز مو خضار,Include Topping_Include Exclude Topping_Exclude
بدى منك تبد لى اللغه للانكليزيه,X X X X X Language
خاطر ع بالى تغيرلى رقم الفون للرقم 094390403,X X X X X X X phone
عايزها صغيرة,X ItemSize
هلأ فيني شوف الطلبات السابقة,X X X X X
عطلان بشي مشكلة,X X X
الحساب كدا كام,X X X
خليني شوف ايه الموجود اذا بتريد,X X X X X X
داعبالى تحويل مكان اقامتى,X X X X
وصلني للقائمة الرئيسية من فضلك,X X X X X
عايز القائمة الرئيسية,X X X
عايز ساندوتش,X ItemName
ابي اسال شي,X X X
حطلي كمان ساندوتش فراخ,X X ItemName ItemName
عايز حجمها كبير من فضلك,X X ItemSize X X
انا احتاج 2 بيتزا كبيرة بدون طماطم و لكن اضف لها المزيد من جبنة البارميزان,X X itemnumber ItemName ItemSize Exclude Topping_Exclude X X Include X X X Topping_Include Topping_Include
هبعتلك رقمي الجديد عشان تعمله تحديث,X X X X X X
محتاجة اشوف الاوردر تاني,X X X X
ابا عدل العنوان,X X X
بيف برجر ساندوتش معاه اكسترا مستردة,ItemName ItemName ItemName Include Include Topping_Include
بدي ضيف العنوان الحين,X X X X
عايز ارجع لقائمة تغيير البيانات,X X X X X
عاوز اعرف الاوردر بيوصل في قد ايه,X X X X X X X
كنت عايزه الحجم الوسط,X X X ItemSize
عنواني اصبح مختلف الأن,X X X X
اهو 3 برجر,X itemnumber ItemName
ايه الاكل المفضل عندى,X X X X
عطيني قائمة الاوردر يلي طلبته,X X X X X
ممكن تديني الحساب,X X X
اذا فيك اعطني الشيك,X X X X
انا عايز اشوف منيو وجبات الاطفال في ماك,X X X X X X X X
عايزة اشوف الطلبات المسجلة,X X X X
بدي اختار اللغة الفرنسية,X X X Language
اذا بدك تفرجيني القائمة المفضلة تبعي,X X X X X X
5 ساندوتشات شاورما لحمة كبير,ItemName ItemName ItemName X ItemSize
بدون جبن,Exclude Topping_Exclude
ابا شوف المنيو,X X X
ابغا الفاتوره اذا شمحت,X X X X
عايز اضيف منطقة سكني,X X X X
طلبي اتاخر,X X
حابة استفسر عن حاجة,X X X X
ممكن تساعدني,X X
ابغا اتطلع على الطلب رقم 8833,X X X X X OrderNumber
لو سمحت لو عايزة اغير نمرتي للنمرة دي 05049144444 ازاي,X X X X X X X X phone X
وش الحل,X X
عطيني قائمة الطلبات يلي طلبتها,X X X X X
لو سمحت عايز الغي عنواني,X X X X X
قداي بياخد الأكل,X X X
امسح العنوان,X X
عايز كرانشي تشيكن كبير من فضلك,X ItemName ItemName ItemSize X X
داير اسألك عا شي,X X X X
حضرولي طبق سلطة كبير منغير بصل,X X ItemName ItemSize Exclude Topping_Exclude
كان بدي اتواصل باللغة الانجليزية,X X X X Language
هلأ بدي احذف العنوان اذا بتريد,X X X X X X
ممكن اراجع على الاوردر من الاول,X X X X X X
متورينى مكان الاوردر كدا,X X X X
عايزة اعدل عنوان بيتي,X X X X
متقولى ازاى اتكلم مع الخدمه,X X X X X
من فضلك عايز احذف وجبة الدويتو,X X X X ItemName ItemName
ممكن اعرف اسجل بياناتي ازاي,X X X X X
منيو مشروبات كوستا,X X X
ابكم الحساب,X X
ياريت توصلني بحد من خدمة العملاء,X X X X X X
فيني اخذ الفاتورة حقي,X X X X
عندكوا مقبلات ايه,X MenuName X
بدي شوف الطلبات تبعي من الاول,X X X X X X
ايه الخطوة الي بعد كدا,X X X X X
لكن بدي ضيف العنوان,X X X X
اريدك تتابع معاي تفاصيل طلبي,X X X X X
اذا بدك تساعدني بشي,X X X X
ابي اختار اللغة العربية,X X X Language
من فضلك عايز الغي وجبة العائلة,X X X X ItemName ItemName
فيك تفرجيني المنيو اذا بتريد,X X X X X
عايزة انتقل للمرحلة التالية,X X X X
بدياك تساعدني بشي,X X X
شوفلي الاوردر فين دلوقتي,X X X X
بغيت اغير عنوان المنزل,X X X X
خليني اغير العنوان لو سمحت,X X X X X
بعد اذنك مش عارفة اغير رقمي,X X X X X X
اتحدث بالعربية,X Language
اعرض لي وجبتي المفضلة,X X X X
ايه تاني,X X
محتاجة 3 ساندوشات شاورما وسط,X itemnumber ItemName ItemName ItemSize
راح زود الهابي ميل,X X ItemName ItemName
اديني حجم صغير,X X ItemSize
بدي شوف منيو وجبات الاطفال بماكدونالدز اذا بتريد,X X X X X X X X
اريد تتبع الطلبات,X X X
فيني حدث رقم الموبايل بليز,X X X X X
حابب اشوف منيو الحلويات,X X X MenuName
ابي الغي هالعنوان,X X X
فيك تساعدنى,X X
عاوز احاسب,X X
بدي شوف الكارت تبعي,X X X X
ابي 3 صمونات دياي دوارية,X itemnumber ItemName ItemName ItemSize
زود وجبة كوردن بلو,X ItemName ItemName ItemName
فيك تغيرلي اللغة للعربي,X X X Language
ممكن اغير رقم التليفون,X X X X
كنت عايزة اضيف عنوان منزلي,X X X X X
يعيشك بوت,X X
فيني احدد عنوان البيت,X X X X
فيني غير رقم الموبايل الى 01147236465 اذا بتريد,X X X X X phone X X
الاوردر فين دلوقتي,X X X
اعرض لي الاوردرات القديمة,X X X X
ابعتلي منيو جاد الحصري,X X X X
01547869351 هذا الرقم الجديد حقى غيره مكان الرقم القديم من فضلك,phone X X X X X X X X X X
كيفاش احذف رقم الموبايل,X X X X
بغيت انتقل للخطوة التالية,X X X X
احتاج ان اطلع على القائمة المفضلة,X X X X X X
كنت عايز اغير رقم تليفوني,X X X X X
فرجيني ركن المعجنات بليز,X X MenuName X
غيرلي العنوان المسجل,X X X
عايز اضيف فرخة مشوية من دون ليمون,X X ItemName ItemName Exclude Exclude Topping_Exclude
عايز 3 بيتزا بيبروني حجم متوسط,X itemnumber ItemName ItemName X ItemSize
كنت عايزه الحجم الوسط,X X X ItemSize
فيني احذف العنوان اذا بتريد,X X X X X
عايز اشوف منيو كينج بيتزا,X X X X X
